x,y,color
14.400000,1.750000,0.000000
19.387959,3.778755,0.000000
21.203291,6.436255,0.000000
21.760996,9.248716,0.000000
21.204209,12.061250,0.000000
19.614336,14.446777,0.000000
17.233955,16.044785,0.000000
14.423716,16.611953,0.000000
11.609829,16.062939,0.000000
9.219312,14.480303,0.000000
7.613955,12.104771,0.000000
7.037920,9.296333,0.000000
7.578218,6.480747,0.000000
9.371372,3.838516,0.000000
22.298037,-1.834141,0.000000
24.437959,-5.099512,0.000000
25.260996,-9.248018,0.000000
24.439346,-13.396895,0.000000
22.093984,-16.916855,0.000000
18.582549,-19.274531,0.000000
14.436636,-20.111934,0.000000
10.285200,-19.302588,0.000000
6.757915,-16.968574,0.000000
4.389004,-13.464805,0.000000
3.538008,-9.321699,0.000000
4.333853,-5.167695,0.000000
6.473696,-1.875488,0.000000
11.487002,2.250000,0.000000
17.287002,2.250000,0.000000
