x,y,color
14.400000,-1.750000,1.000000
22.298037,1.834146,1.000000
24.437959,5.099507,1.000000
25.260996,9.248022,1.000000
24.439346,13.396895,1.000000
22.093984,16.916855,1.000000
18.582549,19.274531,1.000000
14.436636,20.111934,1.000000
10.285200,19.302588,1.000000
6.757915,16.968574,1.000000
4.389004,13.464810,1.000000
3.538008,9.321704,1.000000
4.333853,5.167700,1.000000
6.473696,1.875488,1.000000
19.387959,-3.778750,1.000000
21.203291,-6.436250,1.000000
21.760996,-9.248721,1.000000
21.204209,-12.061250,1.000000
19.614336,-14.446777,1.000000
17.233955,-16.044785,1.000000
14.423716,-16.611953,1.000000
11.609829,-16.062939,1.000000
9.219312,-14.480293,1.000000
7.613955,-12.104766,1.000000
7.037920,-9.296328,1.000000
7.578218,-6.480742,1.000000
9.371372,-3.838516,1.000000
11.487002,-2.250000,1.000000
17.287002,-2.250000,1.000000
