x,y,theta
23.523141,9.276335,-1.562070
23.521754,9.435363,-1.544616
23.517590,9.594343,-1.527163
23.510654,9.753225,-1.509710
23.500945,9.911963,-1.492257
23.488467,10.070506,-1.474803
23.473224,10.228808,-1.457350
23.455221,10.386820,-1.439897
23.434463,10.544493,-1.422443
23.410956,10.701780,-1.404990
23.384708,10.858633,-1.387537
23.355727,11.015004,-1.370083
23.324020,11.170845,-1.352630
23.289599,11.326109,-1.335177
23.252473,11.480749,-1.317724
23.212654,11.634718,-1.300270
23.170154,11.787968,-1.282817
23.124986,11.940452,-1.265364
23.077164,12.092126,-1.247910
23.026702,12.242941,-1.230457
22.973615,12.392853,-1.213004
22.917920,12.541816,-1.195551
22.859634,12.689784,-1.178097
22.798774,12.836712,-1.160644
22.735360,12.982556,-1.143191
22.669410,13.127271,-1.125737
22.600944,13.270812,-1.108284
22.529983,13.413137,-1.090831
22.456549,13.554202,-1.073377
22.380665,13.693964,-1.055924
22.302353,13.832380,-1.038471
22.221637,13.969408,-1.021018
22.138542,14.105007,-1.003564
22.053093,14.239135,-0.986111
21.965316,14.371751,-0.968658
21.875239,14.502815,-0.951204
21.782887,14.632287,-0.933751
21.688290,14.760128,-0.916298
21.591476,14.886298,-0.898845
21.492475,15.010759,-0.881391
21.391317,15.133473,-0.863938
21.288033,15.254404,-0.846485
21.182654,15.373513,-0.829031
21.075212,15.490765,-0.811578
20.965741,15.606124,-0.794125
20.854272,15.719555,-0.776672
20.740841,15.831024,-0.759218
20.625482,15.940496,-0.741765
20.508230,16.047937,-0.724312
20.389121,16.153316,-0.706858
20.268190,16.256601,-0.689405
20.145476,16.357759,-0.671952
20.021014,16.456760,-0.654498
19.894844,16.553573,-0.637045
19.767004,16.648170,-0.619592
19.637532,16.740522,-0.602139
19.506468,16.830600,-0.584685
19.373852,16.918376,-0.567232
19.239724,17.003825,-0.549779
19.104125,17.086920,-0.532325
18.967097,17.167636,-0.514872
18.828681,17.245948,-0.497419
18.688919,17.321833,-0.479966
18.547854,17.395266,-0.462512
18.405529,17.466227,-0.445059
18.261987,17.534693,-0.427606
18.117273,17.600643,-0.410152
17.971429,17.664058,-0.392699
17.824501,17.724917,-0.375246
17.676533,17.783203,-0.357792
17.527570,17.838898,-0.340339
17.377658,17.891985,-0.322886
17.226843,17.942447,-0.305433
17.075169,17.990270,-0.287979
16.922684,18.035438,-0.270526
16.769434,18.077938,-0.253073
16.615466,18.117757,-0.235619
16.460826,18.154882,-0.218166
16.305562,18.189304,-0.200713
16.149721,18.221010,-0.183260
15.993350,18.249991,-0.165806
15.836497,18.276240,-0.148353
15.679210,18.299746,-0.130900
15.521537,18.320504,-0.113446
15.363525,18.338508,-0.095993
