x,y,theta
23.523140,-9.276333,-1.562070
23.521753,-9.117305,-1.544616
23.517590,-8.958326,-1.527163
23.510653,-8.799443,-1.509710
23.500944,-8.640706,-1.492257
23.488466,-8.482162,-1.474803
23.473223,-8.323860,-1.457350
23.455220,-8.165849,-1.439897
23.434462,-8.008175,-1.422443
23.410955,-7.850888,-1.404990
23.384707,-7.694036,-1.387537
23.355726,-7.537665,-1.370083
23.324019,-7.381823,-1.352630
23.289598,-7.226559,-1.335177
23.252472,-7.071919,-1.317724
23.212654,-6.917951,-1.300270
23.170154,-6.764701,-1.282817
23.124985,-6.612216,-1.265364
23.077163,-6.460543,-1.247910
23.026701,-6.309727,-1.230457
22.973614,-6.159815,-1.213004
22.917919,-6.010853,-1.195551
22.859633,-5.862885,-1.178097
22.798774,-5.715957,-1.160644
22.735359,-5.570113,-1.143191
22.669409,-5.425398,-1.125737
22.600943,-5.281856,-1.108284
22.529982,-5.139532,-1.090831
22.456549,-4.998467,-1.073377
22.380664,-4.858705,-1.055924
22.302352,-4.720289,-1.038471
22.221636,-4.583261,-1.021018
22.138541,-4.447662,-1.003564
22.053092,-4.313534,-0.986111
21.965316,-4.180918,-0.968658
21.875238,-4.049854,-0.951204
21.782886,-3.920382,-0.933751
21.688289,-3.792541,-0.916298
21.591476,-3.666371,-0.898845
21.492475,-3.541910,-0.881391
21.391317,-3.419196,-0.863938
21.288032,-3.298265,-0.846485
21.182653,-3.179156,-0.829031
21.075212,-3.061904,-0.811578
20.965740,-2.946545,-0.794125
20.854272,-2.833114,-0.776672
20.740841,-2.721645,-0.759218
20.625481,-2.612174,-0.741765
20.508229,-2.504732,-0.724312
20.389120,-2.399353,-0.706858
20.268190,-2.296069,-0.689405
20.145475,-2.194911,-0.671952
20.021014,-2.095910,-0.654498
19.894844,-1.999096,-0.637045
19.767003,-1.904499,-0.619592
19.637531,-1.812147,-0.602139
19.506467,-1.722070,-0.584685
19.373851,-1.634293,-0.567232
19.239723,-1.548844,-0.549779
19.104125,-1.465749,-0.532325
18.967096,-1.385033,-0.514872
18.828680,-1.306721,-0.497419
18.688919,-1.230837,-0.479966
18.547854,-1.157403,-0.462512
18.405529,-1.086442,-0.445059
18.261987,-1.017977,-0.427606
18.117272,-0.952026,-0.410152
17.971429,-0.888612,-0.392699
17.824501,-0.827752,-0.375246
17.676533,-0.769466,-0.357792
17.527570,-0.713771,-0.340339
17.377658,-0.660684,-0.322886
17.226842,-0.610222,-0.305433
17.075169,-0.562400,-0.287979
16.922684,-0.517232,-0.270526
16.769434,-0.474732,-0.253073
16.615466,-0.434913,-0.235619
16.460826,-0.397787,-0.218166
16.305562,-0.363366,-0.200713
16.149721,-0.331660,-0.183260
15.993350,-0.302678,-0.165806
15.836497,-0.276430,-0.148353
15.679210,-0.252923,-0.130900
15.521536,-0.232165,-0.113446
15.363525,-0.214162,-0.095993
15.205223,-0.198919,-0.078540
15.046679,-0.186441,-0.061087
14.887942,-0.176733,-0.043633
14.729060,-0.169796,-0.026180
14.570080,-0.165633,-0.008727
14.411052,-0.164245,0.008727
14.252024,-0.165633,0.026180
14.093045,-0.169796,0.043633
13.934162,-0.176733,0.061087
13.775425,-0.186441,0.078540
13.616881,-0.198919,0.095993
13.458580,-0.214162,0.113446
13.300568,-0.232165,0.130900
13.142895,-0.252923,0.148353
12.985608,-0.276430,0.165806
12.828755,-0.302678,0.183260
12.672384,-0.331660,0.200713
12.516543,-0.363366,0.218166
12.361278,-0.397787,0.235619
12.206639,-0.434913,0.253073
12.052670,-0.474732,0.270526
11.899420,-0.517232,0.287979
11.746936,-0.562400,0.305433
11.595262,-0.610222,0.322886
11.444447,-0.660684,0.340339
11.294535,-0.713771,0.357792
11.145572,-0.769466,0.375246
10.997604,-0.827752,0.392699
10.850676,-0.888612,0.410152
10.704832,-0.952026,0.427606
10.560117,-1.017977,0.445059
10.416576,-1.086442,0.462512
10.274251,-1.157403,0.479966
10.133186,-1.230837,0.497419
9.993424,-1.306721,0.514872
9.855008,-1.385033,0.532325
9.717980,-1.465749,0.549779
9.582381,-1.548844,0.567232
9.448253,-1.634293,0.584685
9.315637,-1.722070,0.602139
9.184573,-1.812147,0.619592
9.055101,-1.904499,0.637045
8.927261,-1.999096,0.654498
8.801091,-2.095910,0.671952
8.676629,-2.194911,0.689405
8.553915,-2.296069,0.706858
8.432985,-2.399353,0.724312
8.313875,-2.504732,0.741765
8.196623,-2.612174,0.759218
8.081264,-2.721645,0.776672
7.967833,-2.833114,0.794125
7.856365,-2.946545,0.811578
7.746893,-3.061904,0.829031
7.639451,-3.179156,0.846485
7.534072,-3.298265,0.863938
7.430788,-3.419196,0.881391
7.329630,-3.541910,0.898845
7.230629,-3.666371,0.916298
7.133815,-3.792541,0.933751
7.039218,-3.920382,0.951204
6.946867,-4.049854,0.968658
6.856789,-4.180918,0.986111
6.769012,-4.313534,1.003564
6.683563,-4.447662,1.021018
6.600468,-4.583261,1.038471
6.519752,-4.720289,1.055924
6.441440,-4.858705,1.073377
6.365556,-4.998467,1.090831
6.292122,-5.139532,1.108284
6.221162,-5.281856,1.125737
6.152696,-5.425398,1.143191
6.086746,-5.570113,1.160644
6.023331,-5.715957,1.178097
5.962471,-5.862885,1.195551
5.904185,-6.010853,1.213004
5.848490,-6.159815,1.230457
5.795404,-6.309727,1.247910
5.744941,-6.460543,1.265364
5.697119,-6.612216,1.282817
5.651951,-6.764701,1.300270
5.609451,-6.917951,1.317724
5.569632,-7.071919,1.335177
5.532506,-7.226559,1.352630
5.498085,-7.381823,1.370083
5.466379,-7.537665,1.387537
5.437397,-7.694036,1.404990
5.411149,-7.850888,1.422443
5.387642,-8.008175,1.439897
5.366884,-8.165849,1.457350
5.348881,-8.323860,1.474803
5.333638,-8.482162,1.492257
5.321161,-8.640706,1.509710
5.311452,-8.799443,1.527163
5.304515,-8.958326,1.544616
5.300352,-9.117305,1.562070
5.298964,-9.276333,-1.562070
5.300352,-9.435361,-1.544616
5.304515,-9.594340,-1.527163
5.311452,-9.753223,-1.509710
5.321161,-9.911960,-1.492257
5.333638,-10.070504,-1.474803
5.348881,-10.228806,-1.457350
5.366884,-10.386817,-1.439897
5.387642,-10.544491,-1.422443
5.411149,-10.701778,-1.404990
5.437397,-10.858631,-1.387537
5.466379,-11.015001,-1.370083
5.498085,-11.170843,-1.352630
5.532506,-11.326107,-1.335177
5.569632,-11.480747,-1.317724
5.609451,-11.634715,-1.300270
5.651951,-11.787965,-1.282817
5.697119,-11.940450,-1.265364
5.744941,-12.092123,-1.247910
5.795404,-12.242939,-1.230457
5.848490,-12.392851,-1.213004
5.904185,-12.541813,-1.195551
5.962471,-12.689781,-1.178097
6.023331,-12.836709,-1.160644
6.086746,-12.982553,-1.143191
6.152696,-13.127268,-1.125737
6.221162,-13.270810,-1.108284
6.292122,-13.413134,-1.090831
6.365556,-13.554199,-1.073377
6.441440,-13.693961,-1.055924
6.519752,-13.832377,-1.038471
6.600468,-13.969405,-1.021018
6.683563,-14.105004,-1.003564
6.769012,-14.239132,-0.986111
6.856789,-14.371748,-0.968658
6.946867,-14.502812,-0.951204
7.039218,-14.632284,-0.933751
7.133815,-14.760125,-0.916298
7.230629,-14.886295,-0.898845
7.329630,-15.010756,-0.881391
7.430788,-15.133470,-0.863938
7.534072,-15.254401,-0.846485
7.639451,-15.373510,-0.829031
7.746893,-15.490762,-0.811578
7.856365,-15.606121,-0.794125
7.967833,-15.719552,-0.776672
8.081264,-15.831021,-0.759218
8.196623,-15.940492,-0.741765
8.313875,-16.047934,-0.724312
8.432985,-16.153313,-0.706858
8.553915,-16.256597,-0.689405
8.676629,-16.357756,-0.671952
8.801091,-16.456756,-0.654498
8.927261,-16.553570,-0.637045
9.055101,-16.648167,-0.619592
9.184573,-16.740519,-0.602139
9.315637,-16.830596,-0.584685
9.448253,-16.918373,-0.567232
9.582381,-17.003822,-0.549779
9.717980,-17.086917,-0.532325
9.855008,-17.167633,-0.514872
9.993424,-17.245945,-0.497419
10.133186,-17.321829,-0.479966
10.274251,-17.395263,-0.462512
10.416576,-17.466224,-0.445059
10.560117,-17.534689,-0.427606
10.704832,-17.600640,-0.410152
10.850676,-17.664054,-0.392699
10.997604,-17.724914,-0.375246
11.145572,-17.783200,-0.357792
11.294535,-17.838895,-0.340339
11.444447,-17.891982,-0.322886
11.595262,-17.942444,-0.305433
11.746936,-17.990266,-0.287979
11.899420,-18.035434,-0.270526
12.052670,-18.077934,-0.253073
12.206639,-18.117753,-0.235619
12.361278,-18.154879,-0.218166
12.516543,-18.189300,-0.200713
12.672384,-18.221006,-0.183260
12.828755,-18.249988,-0.165806
12.985608,-18.276236,-0.148353
13.142895,-18.299743,-0.130900
13.300568,-18.320501,-0.113446
13.458580,-18.338504,-0.095993
13.616881,-18.353747,-0.078540
13.775425,-18.366225,-0.061087
13.934162,-18.375933,-0.043633
14.093045,-18.382870,-0.026180
14.252024,-18.387033,-0.008727
14.411052,-18.388421,0.008727
14.570080,-18.387033,0.026180
14.729060,-18.382870,0.043633
14.887942,-18.375933,0.061087
15.046679,-18.366225,0.078540
15.205223,-18.353747,0.095993
15.363525,-18.338504,0.113446
15.521536,-18.320501,0.130900
15.679210,-18.299743,0.148353
15.836497,-18.276236,0.165806
15.993350,-18.249988,0.183260
16.149721,-18.221006,0.200713
16.305562,-18.189300,0.218166
16.460826,-18.154879,0.235619
16.615466,-18.117753,0.253073
16.769434,-18.077934,0.270526
16.922684,-18.035434,0.287979
17.075169,-17.990266,0.305433
17.226842,-17.942444,0.322886
17.377658,-17.891982,0.340339
17.527570,-17.838895,0.357792
17.676533,-17.783200,0.375246
17.824501,-17.724914,0.392699
17.971429,-17.664054,0.410152
18.117272,-17.600640,0.427606
18.261987,-17.534689,0.445059
18.405529,-17.466224,0.462512
18.547854,-17.395263,0.479966
18.688919,-17.321829,0.497419
18.828680,-17.245945,0.514872
18.967096,-17.167633,0.532325
19.104125,-17.086917,0.549779
19.239723,-17.003822,0.567232
19.373851,-16.918373,0.584685
19.506467,-16.830596,0.602139
19.637531,-16.740519,0.619592
19.767003,-16.648167,0.637045
19.894844,-16.553570,0.654498
20.021014,-16.456756,0.671952
20.145475,-16.357756,0.689405
20.268190,-16.256597,0.706858
20.389120,-16.153313,0.724312
20.508229,-16.047934,0.741765
20.625481,-15.940492,0.759218
20.740841,-15.831021,0.776672
20.854272,-15.719552,0.794125
20.965740,-15.606121,0.811578
21.075212,-15.490762,0.829031
21.182653,-15.373510,0.846485
21.288032,-15.254401,0.863938
21.391317,-15.133470,0.881391
21.492475,-15.010756,0.898845
21.591476,-14.886295,0.916298
21.688289,-14.760125,0.933751
21.782886,-14.632284,0.951204
21.875238,-14.502812,0.968658
21.965316,-14.371748,0.986111
22.053092,-14.239132,1.003564
22.138541,-14.105004,1.021018
22.221636,-13.969405,1.038471
22.302352,-13.832377,1.055924
22.380664,-13.693961,1.073377
22.456549,-13.554199,1.090831
22.529982,-13.413134,1.108284
22.600943,-13.270810,1.125737
22.669409,-13.127268,1.143191
22.735359,-12.982553,1.160644
22.798774,-12.836709,1.178097
22.859633,-12.689781,1.195551
22.917919,-12.541813,1.213004
22.973614,-12.392851,1.230457
23.026701,-12.242939,1.247910
23.077163,-12.092123,1.265364
23.124985,-11.940450,1.282817
23.170154,-11.787965,1.300270
23.212654,-11.634715,1.317724
23.252472,-11.480747,1.335177
23.289598,-11.326107,1.352630
23.324019,-11.170843,1.370083
23.355726,-11.015001,1.387537
23.384707,-10.858631,1.404990
23.410955,-10.701778,1.422443
23.434462,-10.544491,1.439897
23.455220,-10.386817,1.457350
23.473223,-10.228806,1.474803
23.488466,-10.070504,1.492257
23.500944,-9.911960,1.509710
23.510653,-9.753223,1.527163
23.517590,-9.594340,1.544616
23.521753,-9.435361,1.562070
